sale_id,customer_id,product_id,sale_date,quantity,sales_amount,discount,profit
58,1174162,516376,2025-02-19,3,2632.29,369.1,374.67
59,34526442,587645,2025-03-31,1,801.81,31.46,130.27
60,97286925,890623,2025-04-15,5,1772.6,71.12,339.68
61,17681645,833557,2025-03-27,1,422.87,66.28,69.04
62,20310720,33955,2025-09-17,2,372.16,6.22,54.01
63,28277304,487065,2025-10-28,5,1873.4,28.61,154.48
64,21779155,537274,2025-08-04,3,2108.13,39.56,238.41
65,98016334,537274,2025-02-13,5,3513.55,72.31,513.03
66,36833857,500633,2025-09-13,3,463.5,47.84,76.94
67,18256339,669378,2025-11-25,3,636.42,78.26,52.08
68,6668498,313754,2025-08-09,5,683.0,15.71,84.13
69,53332493,41853,2025-08-30,3,2731.32,259.33,490.92
70,87450286,462526,2025-08-02,1,449.97,85.92,57.99
71,85518832,563740,2025-05-26,4,385.32,72.49,40.61
72,79726146,798639,2025-03-05,2,422.5,40.03,73.64
73,76830090,587420,2025-11-29,2,714.84,29.67,122.39
74,82948843,378230,2025-08-22,2,332.84,19.97,29.43
75,61522288,965755,2025-07-02,3,1597.71,244.58,150.23
76,73807097,6405,2025-06-16,4,946.04,109.44,105.61
77,55028958,615545,2025-12-08,4,1792.64,155.54,156.02
78,9551011,329351,2025-10-01,2,621.74,97.14,74.67
79,19741509,762527,2025-10-16,1,690.08,132.27,78.3
80,19400174,240179,2025-06-12,1,90.56,8.82,14.68
81,99643057,970529,2025-10-13,1,827.44,62.71,118.89
82,68906393,890623,2025-12-24,1,354.52,32.74,33.49
83,46146390,306177,2025-03-21,5,3846.2,161.63,327.12
84,30192942,566052,2025-05-13,2,174.6,11.77,25.38
85,12507907,762527,2025-05-25,3,2070.24,304.99,339.53
86,31389750,712003,2025-04-30,1,671.68,129.3,49.98
87,96853930,319388,2025-10-09,5,3289.0,323.95,416.32
88,51670882,500739,2025-12-09,3,1079.94,166.87,109.41
89,21701991,807452,2025-05-06,3,432.57,14.02,40.94
90,55028958,968887,2025-05-29,1,40.7,7.03,4.87
91,98241853,833557,2025-07-26,2,845.74,10.21,124.12
92,76257013,256051,2025-05-03,4,1603.68,116.0,235.99
93,68939350,120532,2025-07-01,2,1395.06,0.41,274.21
94,57548210,890232,2025-08-04,3,1296.0,248.06,173.99
95,16436211,890232,2025-03-16,5,2160.0,177.31,168.59
96,42102289,557908,2025-07-09,5,4711.85,686.09,537.8
97,57770044,812607,2025-05-25,5,2083.25,302.9,304.62
98,94529626,945635,2025-05-12,2,1557.8,134.15,126.24
99,3002538,153019,2025-02-06,3,2843.85,71.33,432.62
100,52757321,284460,2025-03-04,4,2023.8,88.23,324.63
101,11493380,67197,2025-04-28,3,1656.6,308.98,217.91
102,5140660,4452,2025-05-03,1,169.88,15.93,14.51
103,31576845,962054,2025-10-07,1,16.86,0.6,2.53
104,30767655,52729,2025-01-30,4,1264.08,191.78,166.97
105,60399360,397973,2025-08-28,4,2914.92,424.52,414.3
106,70243933,455083,2025-01-21,3,2877.03,486.18,342.26
107,80404839,11422,2025-08-30,4,508.64,31.53,76.5
108,954629,56589,2025-09-03,1,517.77,6.36,52.13
109,92409489,287070,2025-04-23,2,886.34,13.78,102.61
110,57523973,677542,2025-04-19,3,637.83,54.62,65.36
111,91243571,990993,2025-10-09,2,527.4,30.81,80.37
112,23755474,561860,2025-07-25,4,3499.12,306.25,515.76
113,47618810,455755,2025-04-17,5,220.45,35.67,33.42
114,38048329,337168,2025-04-08,5,2727.45,452.43,184.15
115,60974181,890623,2025-08-12,1,354.52,14.24,67.99
116,16410708,154179,2025-06-04,1,582.87,74.55,54.05
117,42432226,537274,2025-09-23,4,2810.84,497.52,378.17
118,69415494,891833,2025-07-03,2,986.38,84.34,160.13
119,66140659,927651,2025-11-17,5,2133.6,403.4,326.21
120,72942753,455755,2025-12-29,1,44.09,4.74,4.32
121,5140660,376447,2025-12-17,2,1449.68,168.64,176.23
122,91408854,124290,2025-04-30,3,118.95,8.49,10.09
123,48167795,673058,2025-12-21,1,765.76,35.6,123.64
124,21784094,490939,2025-02-02,4,321.0,33.05,56.76
125,22112867,949818,2025-07-22,3,1449.15,156.24,168.94
126,34567918,337168,2025-04-06,2,1090.98,83.6,148.17
127,74231111,196719,2025-08-06,5,1087.5,76.95,195.69
128,53624677,555121,2025-12-15,3,1064.73,143.66,87.51
129,77397957,272170,2025-11-30,5,704.0,131.02,91.94
130,48481702,903336,2025-04-28,2,1103.76,131.11,164.3
131,75739462,679321,2025-12-03,2,1476.92,136.44,259.89
132,24357425,153019,2025-09-19,2,1895.9,67.69,353.6
133,94179692,537274,2025-08-15,2,1405.42,276.56,193.23
134,35349582,51036,2025-04-29,2,1863.22,278.19,229.07
135,93803038,532965,2025-10-29,1,307.23,10.69,53.94
136,89361574,704868,2025-05-31,4,773.84,98.8,118.03
137,40626729,723678,2025-01-12,4,2701.84,21.25,385.72
138,57537308,107548,2025-12-13,5,4458.0,809.77,369.98
139,25081012,51036,2025-09-13,1,931.61,15.79,154.55
140,75467328,154179,2025-05-06,2,1165.74,189.87,178.11
141,98896871,669378,2025-06-16,2,424.28,70.81,37.92
142,26278566,859361,2025-11-03,4,1729.56,13.62,174.31
143,63360864,942001,2025-07-10,3,2014.65,312.67,136.69
144,99707100,807452,2025-06-15,4,576.76,55.7,71.81
145,41811800,354409,2025-07-03,4,1300.32,33.34,175.59
146,83964902,687218,2025-03-12,4,1271.28,222.81,168.0
147,25595836,366066,2025-08-24,4,3674.32,499.49,339.28
148,14294171,623234,2025-07-25,4,1319.16,207.73,125.24
149,45586151,880510,2025-03-02,3,2854.29,308.0,272.95
150,16359370,901144,2025-12-15,2,680.72,125.32,104.71
151,21432404,525531,2025-04-02,5,4155.5,439.4,336.95
152,24845814,818990,2025-08-01,2,327.1,36.35,40.07
153,4789829,67197,2025-03-22,4,2208.8,49.02,319.57
154,47577193,741341,2025-03-22,2,1847.68,337.35,134.38
155,12867472,890232,2025-05-21,5,2160.0,344.73,284.23
156,66766629,513199,2025-01-28,3,1266.69,238.97,115.4
157,64403005,57405,2025-08-18,4,2430.68,172.82,335.26
158,3875480,561860,2025-05-06,5,4373.9,644.19,574.27
159,38694209,961614,2025-08-30,2,454.44,18.6,52.63
160,60698094,760828,2025-12-15,5,2817.25,138.14,314.65
161,12867472,820541,2025-05-12,1,576.22,25.2,54.27
162,20148223,300159,2025-09-03,1,44.35,6.73,3.37
163,19425804,537274,2025-10-26,2,1405.42,188.63,107.19
164,15417130,880510,2025-05-29,2,1902.86,369.15,130.22
165,62068277,658389,2025-02-14,5,762.75,72.62,124.88
166,7228206,298985,2025-07-04,2,367.52,63.49,38.05
167,88111697,883013,2025-07-15,5,4949.4,558.68,559.64
168,70363568,272170,2025-01-11,3,422.4,28.37,32.94
169,59207798,60619,2025-10-19,1,726.41,23.13,113.98
170,85072416,942001,2025-04-07,1,671.55,67.55,95.4
171,73363613,962054,2025-03-08,1,16.86,0.45,2.75
172,38244021,723678,2025-07-23,5,3377.3,60.09,383.88
173,89617089,848226,2025-03-17,2,419.18,22.65,68.8
174,26432512,557908,2025-08-31,2,1884.74,311.53,149.36
175,84257716,540618,2025-09-29,4,1268.2,243.81,131.32
176,13284996,77308,2025-01-16,5,1116.35,58.69,159.08
177,82900175,107548,2025-04-12,3,2674.8,519.71,325.31
178,56480776,741341,2025-03-01,5,4619.2,32.13,453.15
179,81046421,587645,2025-04-05,2,1603.62,309.59,134.09
180,72287157,969851,2025-03-10,1,340.66,2.59,36.76
181,91072336,324809,2025-09-04,5,3040.0,127.4,258.55
182,43295656,57405,2025-05-04,3,1823.01,306.61,284.96
183,77217240,734789,2025-10-12,4,1583.28,11.66,154.57
184,49795571,818522,2025-08-05,2,192.18,22.47,24.61
185,61020,194682,2025-05-19,3,2736.87,137.74,504.5
186,91768226,970529,2025-02-13,3,2482.32,151.8,264.69
187,80858127,913428,2025-07-12,5,1961.1,375.42,182.46
188,7591711,771228,2025-04-02,5,415.9,10.85,56.8
189,82708090,600767,2025-01-16,4,2889.68,160.01,509.8
190,96989204,306177,2025-07-08,1,769.24,88.31,67.98
191,2558646,131136,2025-07-12,4,151.2,23.12,18.63
192,80517784,306177,2025-06-05,5,3846.2,489.27,490.85
193,79773912,968887,2025-11-06,3,122.1,14.94,18.98
194,6853981,753354,2025-03-16,2,847.12,52.19,93.47
195,29265216,726958,2025-09-28,4,3549.92,39.64,399.66
196,1491857,615545,2025-06-07,5,2240.8,310.85,284.62
197,43431724,397973,2025-08-20,1,728.73,27.5,88.63
198,12769552,131136,2025-11-28,5,189.0,27.75,19.75
199,55060796,623234,2025-01-22,3,989.37,190.11,77.29
200,10608845,654623,2025-06-13,5,2110.7,393.72,269.34
201,97277696,256783,2025-11-14,3,2719.62,166.15,496.48
202,85233498,949818,2025-04-03,4,1932.2,117.28,324.81
203,56548063,473647,2025-11-30,2,86.1,3.39,8.06
204,27586115,490602,2025-08-11,3,1648.41,232.81,197.58
205,11540364,992178,2025-11-01,4,2529.72,43.71,302.28
206,48778633,589812,2025-01-08,4,652.12,81.39,71.54
207,92583164,319388,2025-10-01,5,3289.0,217.89,371.94
208,87251489,542300,2025-10-21,4,1021.4,189.02,93.32
209,28413467,659290,2025-05-06,3,958.02,89.14,117.07
210,39140039,291238,2025-06-22,4,2984.12,142.45,332.71
211,21779155,14145,2025-11-30,1,630.84,114.84,44.94
212,58893807,540618,2025-09-23,1,317.05,50.54,43.4
213,19425804,712307,2025-06-09,5,1324.45,101.31,213.74
214,16400639,317242,2025-10-06,2,396.3,10.89,60.25
215,32595806,473647,2025-05-27,2,86.1,14.61,7.66
216,4356173,89084,2025-05-25,1,598.83,51.96,88.75
217,22483684,70969,2025-06-16,3,1895.1,116.63,281.27
218,38613642,183929,2025-07-30,4,2954.96,160.7,531.93
219,4057678,298985,2025-08-21,5,918.8,142.95,112.63
220,19084027,659290,2025-05-23,3,958.02,25.43,140.44
221,84161531,112390,2025-09-04,5,4389.9,429.63,566.34
222,78748184,555121,2025-10-07,1,354.91,17.13,34.93
223,78614729,140489,2025-03-27,4,2600.8,195.88,214.83
224,21553672,240179,2025-08-04,4,362.24,68.46,27.21
225,33370343,89084,2025-05-26,1,598.83,20.74,51.25
226,51174875,4452,2025-09-26,5,849.4,128.1,99.67
227,71767248,654297,2025-06-04,4,53.0,7.65,6.68
228,24107959,799688,2025-08-09,1,309.62,26.45,41.98
229,52617081,376447,2025-09-20,5,3624.2,212.23,360.08
230,69339331,913428,2025-04-25,3,1176.66,100.33,122.84
231,50760752,954722,2025-01-17,2,1232.9,0.38,135.8
232,17929886,969851,2025-07-15,3,1021.98,59.04,78.48
233,74172010,883013,2025-12-30,2,1979.76,189.39,252.46
234,30535703,615545,2025-03-28,1,448.16,19.84,84.95
235,11705793,525531,2025-01-31,1,831.1,44.55,144.47
236,77903462,354409,2025-01-26,2,650.16,96.82,68.04
237,95558510,784827,2025-11-06,4,1097.0,184.19,93.12
238,33617546,41853,2025-02-14,3,2731.32,63.77,235.54
239,88046313,39154,2025-02-12,3,2840.58,277.64,306.49
240,57207678,136533,2025-07-15,4,3304.84,273.26,555.7
241,12305040,140489,2025-04-17,5,3251.0,356.98,379.27
242,49617531,63769,2025-10-26,1,878.07,70.43,86.45
243,60967677,256783,2025-01-22,4,3626.16,455.49,463.36
244,8513589,687218,2025-03-03,4,1271.28,95.41,195.61
245,71767248,171602,2025-10-04,2,1766.88,56.33,194.39
246,90299101,298985,2025-04-16,5,918.8,94.68,154.68
247,39042103,123983,2025-02-07,3,2357.01,89.29,428.15
248,31981068,51036,2025-12-01,4,3726.44,725.8,559.73
249,53025962,669378,2025-02-01,1,212.14,38.54,32.41
250,94179692,677169,2025-08-12,2,522.06,39.76,45.36
251,93507573,305754,2025-02-22,4,3919.96,366.88,668.21
252,73933840,853932,2025-07-17,4,3764.76,362.96,441.57
253,24821281,256051,2025-02-23,2,801.84,62.63,126.76
254,37633848,677169,2025-12-22,1,261.03,10.11,21.28
255,38613642,444361,2025-05-10,4,3290.52,269.74,428.81
256,65782437,256783,2025-05-18,4,3626.16,266.1,545.02
257,47577193,478531,2025-11-11,2,1650.92,29.63,231.31
258,49050014,799952,2025-02-10,4,3690.56,23.54,504.57
259,76020843,500633,2025-07-13,1,154.5,6.95,13.33
260,58214883,747801,2025-10-19,1,277.76,37.34,44.88
261,13164195,848226,2025-05-27,3,628.77,73.06,103.37
262,14079305,490939,2025-09-30,3,240.75,35.38,25.31
263,98444183,67197,2025-12-12,3,1656.6,59.96,140.94
264,25706121,89084,2025-10-02,1,598.83,91.4,87.79
265,14272050,587420,2025-12-15,5,1787.1,181.57,227.65
266,94179692,349294,2025-06-20,4,3739.0,150.84,592.99
267,57537308,669378,2025-05-16,5,1060.7,90.19,85.54
268,39876773,4452,2025-02-22,1,169.88,23.43,26.67
269,97484394,564692,2025-08-21,1,215.65,27.26,27.64
270,1491857,473647,2025-09-03,1,43.05,3.88,4.22
271,64562786,652118,2025-04-01,1,22.04,3.21,2.2
272,52337289,767398,2025-02-20,5,110.7,14.56,15.25
273,83034412,613942,2025-04-09,3,1635.0,4.13,312.17
274,11493380,313754,2025-05-13,5,683.0,110.94,101.58
275,47206881,962054,2025-07-06,2,33.72,1.67,5.62
276,27038630,563740,2025-10-11,2,192.66,27.19,17.05
277,32868927,194682,2025-01-01,2,1824.58,107.07,229.18
278,53538932,39154,2025-01-16,4,3787.44,333.68,305.78
279,5001749,306177,2025-01-30,2,1538.48,204.59,151.16
280,30643619,552883,2025-04-01,2,1776.32,84.35,182.87
281,75828735,398340,2025-06-08,4,2607.72,33.73,455.67
282,3483295,764014,2025-02-09,5,3060.2,80.41,298.68
283,12090436,70969,2025-05-20,1,631.7,96.69,78.03
284,55094848,621677,2025-02-23,5,1589.0,281.59,143.12
285,77921718,500739,2025-05-05,4,1439.92,217.57,165.4
286,33394166,186168,2025-08-28,3,2636.4,171.8,306.95
287,15808945,684939,2025-08-16,1,727.95,60.33,64.84
288,81584486,425341,2025-04-05,5,2431.4,329.93,415.27
289,40192266,305754,2025-10-30,4,3919.96,284.94,454.22
290,32656885,937542,2025-06-03,4,388.16,13.75,60.7
291,61226563,903336,2025-02-17,4,2207.52,382.43,320.0
292,44410149,146840,2025-10-08,4,3147.4,400.88,296.99
293,52085702,807452,2025-05-27,4,576.76,60.12,45.14
294,13424885,677169,2025-04-03,4,1044.12,201.62,77.55
295,46025543,704868,2025-02-24,2,386.92,10.71,71.47
296,32929817,692985,2025-12-15,4,789.56,113.48,122.13
297,25770577,440875,2025-10-24,2,550.06,64.54,57.31
298,88684966,118820,2025-02-03,5,61.6,9.69,5.0
299,23098216,82484,2025-01-31,3,2744.64,453.3,237.14
300,20209237,219598,2025-09-16,1,367.08,44.5,56.19
301,89995124,652118,2025-09-06,3,66.12,0.74,11.24
302,83701325,587645,2025-06-20,1,801.81,40.73,112.55
303,8733344,667163,2025-07-15,3,1323.6,144.83,106.24
304,65782437,760828,2025-05-20,2,1126.9,64.79,153.31
305,14275043,970529,2025-05-16,5,4137.2,476.72,396.67
306,58873572,473647,2025-11-02,5,215.25,5.97,41.45
307,20956158,658389,2025-03-16,2,305.1,0.25,52.25
308,85518832,107548,2025-09-23,2,1783.2,139.57,248.5
309,2365348,298985,2025-10-18,3,551.28,83.22,59.33
310,13651980,606256,2025-11-02,4,1477.12,278.46,237.53
311,21461764,306177,2025-11-25,2,1538.48,181.1,192.27
312,47590944,336847,2025-06-06,4,3747.92,217.19,677.13
313,89472859,557908,2025-09-01,1,942.37,50.55,106.28
314,26250082,120532,2025-02-16,2,1395.06,79.65,130.88
315,33829924,473647,2025-09-19,4,172.2,5.25,19.03
316,55936462,366066,2025-03-01,3,2755.74,8.04,255.21
317,23996221,927651,2025-10-16,5,2133.6,245.82,308.7
318,3096845,659290,2025-10-26,2,638.68,92.09,69.12
319,25981385,448752,2025-12-22,2,320.14,4.4,53.32
320,10706516,455755,2025-02-05,5,220.45,15.25,23.51
321,60591625,34200,2025-11-25,4,1279.2,157.17,179.73
322,83701325,451933,2025-05-24,3,1706.82,199.47,189.43
323,93937586,741341,2025-01-03,5,4619.2,411.79,797.31
324,85016568,578097,2025-06-21,4,1070.44,105.55,187.7
325,15631726,91670,2025-11-10,5,2196.2,150.65,292.59
326,18954314,317242,2025-05-10,4,792.6,93.6,126.29
327,48228547,604184,2025-12-27,3,1192.65,184.21,123.86
328,49457685,602241,2025-06-30,2,1953.1,216.0,330.35
329,21786873,876139,2025-02-26,4,1663.0,331.64,203.42
330,83701325,741341,2025-05-25,3,2771.52,492.67,406.14
331,53624677,709916,2025-12-24,2,67.52,8.86,5.74
332,43860025,587645,2025-11-07,4,3207.24,559.06,460.09
333,91312072,349294,2025-09-03,5,4673.75,75.67,625.79
334,70965437,373536,2025-03-21,4,1976.68,302.39,265.94
335,68419593,455755,2025-12-28,3,132.27,14.21,19.03
336,29038113,329351,2025-10-24,5,1554.35,133.2,209.43
337,91789216,764014,2025-02-16,4,2448.16,35.8,443.42
338,62679120,114414,2025-06-01,1,832.06,71.17,116.63
339,95873651,120385,2025-01-25,1,597.91,5.39,59.89
340,4594944,890623,2025-03-14,1,354.52,55.64,28.26
341,23996221,642612,2025-07-07,4,2068.12,324.43,274.9
342,31324823,552496,2025-04-28,2,1016.0,78.16,166.66
343,67896836,799952,2025-11-30,1,922.64,70.98,101.66
344,6637282,839170,2025-06-27,1,481.63,17.58,62.15
345,40015980,444361,2025-09-11,5,4113.15,652.46,318.89
346,1719710,240179,2025-06-03,4,362.24,22.58,34.71
347,9347990,679321,2025-06-29,1,738.46,36.15,120.82
348,46025543,914071,2025-06-26,2,593.88,80.77,99.21
349,2903620,513199,2025-01-02,4,1688.92,208.46,121.61
350,5039883,153019,2025-05-15,4,3791.8,410.5,676.0
351,57217288,820541,2025-03-11,3,1728.66,201.72,221.44
352,61851054,602241,2025-11-24,4,3906.2,110.83,610.05
353,10541231,287070,2025-09-11,4,1772.68,39.6,218.28
354,84257716,444361,2025-04-02,4,3290.52,309.5,249.89
355,15043066,563740,2025-05-24,5,481.65,36.22,76.65
356,35455991,525531,2025-10-29,2,1662.2,165.48,265.92
357,58152923,444361,2025-04-08,4,3290.52,398.82,432.02
358,59190584,847349,2025-11-05,4,3124.32,246.27,307.77
359,19067680,131937,2025-02-19,3,863.43,48.31,90.1
360,17749347,146840,2025-12-10,3,2360.55,72.02,299.96
361,61851054,366066,2025-04-18,2,1837.16,212.92,202.86
362,74833221,378287,2025-06-25,2,665.68,9.43,87.76
363,43599910,658389,2025-11-26,5,762.75,59.64,91.06
364,19400174,615545,2025-09-29,4,1792.64,111.1,150.03
365,81932548,606256,2025-01-28,1,369.28,39.05,52.91
366,21409946,965755,2025-12-25,1,532.57,78.07,73.37
367,15661901,767398,2025-04-09,3,66.42,0.37,7.58
368,24633671,26060,2025-06-11,3,1028.82,26.72,142.14
369,12769552,60619,2025-12-14,3,2179.23,23.39,187.35
370,1060685,440875,2025-10-14,1,275.03,24.61,38.94
371,22822088,107548,2025-05-21,5,4458.0,260.28,635.11
372,22822088,513199,2025-05-10,3,1266.69,231.15,158.61
373,20163931,537274,2025-02-15,3,2108.13,366.3,156.04
374,14272050,883013,2025-02-18,3,2969.64,512.17,353.74
375,37288781,256051,2025-12-01,2,801.84,122.63,127.41
376,55733729,767398,2025-03-09,2,44.28,1.78,8.3
377,1719710,726958,2025-09-12,3,2662.44,312.27,444.11
378,55425478,615545,2025-08-23,5,2240.8,321.18,345.17
379,61121421,760684,2025-09-17,2,143.2,12.76,22.61
380,4438410,760828,2025-09-29,4,2253.8,395.0,263.92
381,47043878,240179,2025-08-10,2,181.12,13.98,27.11
382,58415368,490602,2025-01-22,1,549.47,6.76,104.2
383,60835946,578097,2025-05-31,1,267.61,23.71,28.32
384,99301505,647462,2025-01-08,2,652.84,23.0,59.35
385,23755474,300159,2025-05-28,4,177.4,16.28,23.11
386,50650215,57405,2025-12-09,1,607.67,44.61,95.71
387,33651554,949818,2025-07-25,5,2415.25,72.15,224.75
388,22210238,927651,2025-05-15,5,2133.6,4.82,425.51
389,45659330,194682,2025-01-04,5,4561.45,436.54,578.66
390,45481936,888807,2025-09-13,4,922.32,124.7,74.75
391,94486311,945635,2025-04-14,1,778.9,45.78,112.55
392,63238941,962054,2025-07-03,4,67.44,2.96,10.07
393,63624332,552496,2025-05-07,3,1524.0,266.79,125.16
394,28111842,153019,2025-03-05,2,1895.9,317.06,168.57
395,93730857,461804,2025-03-22,4,1242.76,66.24,215.07
396,68939350,9436,2025-06-11,3,265.29,15.22,41.35
397,894128,771228,2025-10-21,3,249.54,43.09,23.61
398,23081177,863930,2025-06-18,5,1212.85,69.6,150.56
399,29584848,925482,2025-01-28,5,2375.2,198.83,273.25
400,49147776,516376,2025-04-09,3,2632.29,362.43,255.32
401,6184558,697683,2025-03-03,3,371.22,37.72,65.67
402,72917958,39154,2025-11-28,1,946.86,106.77,124.97
403,64932019,888807,2025-09-12,3,691.74,22.8,109.8
404,66359719,613942,2025-07-04,4,2180.0,63.81,198.87
405,59240916,600767,2025-01-05,5,3612.1,301.4,418.38
406,59345983,552496,2025-05-20,5,2540.0,388.91,388.92
407,20689141,726958,2025-12-08,4,3549.92,301.11,456.33
408,35133191,945635,2025-12-25,2,1557.8,240.36,257.16
409,51503088,592784,2025-07-29,1,280.35,4.83,27.58
410,76377003,36412,2025-06-20,4,1590.72,116.34,268.43
411,64497538,587645,2025-05-10,2,1603.62,166.59,241.69
412,29431960,470449,2025-01-26,3,2483.31,476.54,335.85
413,57081917,871592,2025-07-12,3,2610.87,485.55,399.45
414,28350645,760684,2025-04-27,2,143.2,4.62,26.01
415,81091233,183929,2025-05-24,3,2216.22,1.57,378.6
416,52337289,324809,2025-03-03,2,1216.0,104.35,191.86
417,1603358,478531,2025-11-29,3,2476.38,292.31,187.97
418,77869660,712307,2025-12-21,4,1059.56,179.06,105.65
419,99424244,144124,2025-03-06,4,650.68,46.24,101.28
420,66827191,15314,2025-12-24,4,2315.4,251.29,330.75
421,5763963,767398,2025-09-06,5,110.7,4.26,10.41
422,90150193,194682,2025-10-20,2,1824.58,64.31,338.93
423,22112867,555121,2025-06-20,3,1064.73,2.09,148.18
424,23676689,63769,2025-09-20,3,2634.21,227.12,316.83
425,9551011,462526,2025-01-21,4,1799.88,268.56,200.82
426,81757554,837480,2025-01-28,5,1087.0,49.16,141.34
427,73933840,171602,2025-08-29,4,3533.76,93.06,620.37
428,13604883,89084,2025-01-16,5,2994.15,39.39,359.92
429,91566278,647462,2025-11-01,2,652.84,49.91,109.93
430,88520326,77308,2025-11-01,3,669.81,31.05,127.62
431,25795941,679865,2025-07-02,3,1043.73,39.81,96.1
432,80862136,14145,2025-08-16,1,630.84,117.53,93.93
433,6247821,587420,2025-12-30,4,1429.68,36.07,257.3
434,67960179,490602,2025-11-16,5,2747.35,420.84,287.66
435,62807542,726958,2025-07-18,3,2662.44,30.52,382.67
436,49617531,927651,2025-09-06,1,426.72,26.85,44.25
437,56480776,194682,2025-11-09,1,912.29,13.32,142.85
438,64106072,820541,2025-04-01,5,2881.1,9.75,314.06
439,38808614,53833,2025-07-28,5,673.45,69.87,76.09
440,22974816,818522,2025-10-15,3,288.27,29.71,24.16
441,75752515,70969,2025-10-25,5,3158.5,606.21,263.37
442,50392139,658389,2025-06-10,3,457.65,21.99,74.82
443,22800586,818990,2025-02-13,3,490.65,60.99,55.04
444,37947202,901144,2025-11-21,1,340.36,24.51,37.41
445,13465850,63769,2025-01-04,1,878.07,142.79,119.49
446,75474920,883013,2025-06-29,2,1979.76,112.05,262.86
447,63802820,385113,2025-06-23,2,1632.76,269.08,147.2
448,63060947,26060,2025-03-16,4,1371.76,228.26,109.47
449,23098216,642612,2025-08-25,2,1034.06,9.13,149.67
450,35358395,15314,2025-11-20,3,1736.55,330.09,227.6
451,76604145,927651,2025-05-24,4,1706.88,151.21,141.25
452,17390673,91670,2025-02-26,2,878.48,57.37,119.94
453,23098216,6405,2025-08-28,2,473.02,33.02,49.5
454,16424635,516376,2025-03-21,1,877.43,132.72,68.62
455,9105829,741341,2025-04-14,3,2771.52,140.08,251.49
456,81533356,721521,2025-05-06,3,1252.17,114.04,142.18
